date,date,count_yt,count_ain,count_cons,count_msm,count_cchan,count_tweets
2018-12-20 15:00:00,2018-12-20 15:00:00,1841,4.0,0.0,1.0,1.0,177610
2018-12-03 22:00:00,2018-12-03 22:00:00,1256,2.0,2.0,1.0,1.0,140874
2019-01-30 05:00:00,2019-01-30 05:00:00,981,0.0,0.0,5.0,2.0,115895
2019-05-20 19:00:00,2019-05-20 19:00:00,673,0.0,1.0,5.0,2.0,128883
2019-02-18 08:00:00,2019-02-18 08:00:00,635,0.0,1.0,2.0,1.0,117749
2019-05-07 04:00:00,2019-05-07 04:00:00,527,0.0,1.0,1.0,2.0,128362
2018-11-03 12:00:00,2018-11-03 12:00:00,1460,1.0,0.0,2.0,2.0,165759
2018-11-13 09:00:00,2018-11-13 09:00:00,1110,0.0,1.0,1.0,1.0,121403
2018-12-10 00:00:00,2018-12-10 00:00:00,1044,1.0,4.0,0.0,4.0,124228
2018-11-29 20:00:00,2018-11-29 20:00:00,1213,3.0,3.0,0.0,1.0,118486
2018-11-26 22:00:00,2018-11-26 22:00:00,1190,2.0,1.0,0.0,2.0,134809
2019-05-26 04:00:00,2019-05-26 04:00:00,663,0.0,0.0,1.0,2.0,142166
2019-04-11 14:00:00,2019-04-11 14:00:00,1115,3.0,2.0,6.0,3.0,204967
2019-04-20 18:00:00,2019-04-20 18:00:00,690,3.0,2.0,1.0,2.0,135348
2019-04-27 23:00:00,2019-04-27 23:00:00,731,0.0,1.0,1.0,1.0,129230
2019-05-05 22:00:00,2019-05-05 22:00:00,638,2.0,0.0,2.0,4.0,135946
2018-12-26 11:00:00,2018-12-26 11:00:00,1374,0.0,1.0,1.0,1.0,134546
2019-03-17 01:00:00,2019-03-17 01:00:00,740,1.0,2.0,2.0,5.0,148143
2018-10-15 21:00:00,2018-10-15 21:00:00,1227,2.0,3.0,0.0,0.0,126366
2019-05-06 20:00:00,2019-05-06 20:00:00,662,0.0,0.0,3.0,5.0,140428
2018-10-24 09:00:00,2018-10-24 09:00:00,1157,3.0,0.0,1.0,0.0,124349
2018-12-25 18:00:00,2018-12-25 18:00:00,1059,0.0,0.0,0.0,1.0,119956
2018-10-30 08:00:00,2018-10-30 08:00:00,799,0.0,1.0,1.0,2.0,102541
2018-12-20 18:00:00,2018-12-20 18:00:00,1229,0.0,3.0,3.0,2.0,125666
2019-02-23 22:00:00,2019-02-23 22:00:00,627,1.0,0.0,3.0,1.0,126357
2018-10-11 22:00:00,2018-10-11 22:00:00,1253,9.0,1.0,7.0,6.0,130529
2019-03-15 11:00:00,2019-03-15 11:00:00,1089,0.0,0.0,3.0,1.0,170604
2018-12-01 05:00:00,2018-12-01 05:00:00,1031,2.0,5.0,1.0,3.0,113354
2018-11-27 20:00:00,2018-11-27 20:00:00,1177,1.0,3.0,4.0,4.0,121757
2018-11-26 23:00:00,2018-11-26 23:00:00,1135,1.0,7.0,2.0,2.0,135553
2018-12-27 16:00:00,2018-12-27 16:00:00,1382,1.0,1.0,0.0,2.0,154277
2019-03-07 12:00:00,2019-03-07 12:00:00,1020,0.0,1.0,0.0,1.0,170694
2019-03-19 17:00:00,2019-03-19 17:00:00,796,0.0,3.0,2.0,4.0,152291
2018-10-16 05:00:00,2018-10-16 05:00:00,847,2.0,0.0,5.0,3.0,102122
2019-01-06 20:00:00,2019-01-06 20:00:00,1184,0.0,1.0,1.0,1.0,127450
2019-03-23 18:00:00,2019-03-23 18:00:00,766,1.0,1.0,4.0,2.0,140426
2019-04-07 13:00:00,2019-04-07 13:00:00,1268,0.0,1.0,0.0,3.0,199948
2019-05-07 02:00:00,2019-05-07 02:00:00,610,1.0,0.0,2.0,4.0,150507
2019-05-31 08:00:00,2019-05-31 08:00:00,710,0.0,1.0,1.0,1.0,111676
2019-03-06 07:00:00,2019-03-06 07:00:00,602,1.0,0.0,1.0,1.0,108240
2019-05-10 14:00:00,2019-05-10 14:00:00,1210,4.0,1.0,4.0,1.0,194227
2019-02-17 00:00:00,2019-02-17 00:00:00,598,1.0,0.0,2.0,0.0,124899
2019-05-26 10:00:00,2019-05-26 10:00:00,894,0.0,1.0,3.0,1.0,142485
2018-10-13 04:00:00,2018-10-13 04:00:00,877,1.0,0.0,0.0,0.0,120522
2019-05-16 00:00:00,2019-05-16 00:00:00,678,3.0,0.0,5.0,1.0,142486
2019-02-22 20:00:00,2019-02-22 20:00:00,718,3.0,1.0,1.0,3.0,125841
2018-12-25 20:00:00,2018-12-25 20:00:00,1037,1.0,2.0,0.0,3.0,105725
2018-12-24 02:00:00,2018-12-24 02:00:00,1066,0.0,1.0,3.0,2.0,129831
2018-12-01 02:00:00,2018-12-01 02:00:00,1227,0.0,5.0,9.0,6.0,126336
2019-03-16 03:00:00,2019-03-16 03:00:00,685,0.0,0.0,1.0,2.0,143338
2019-02-09 00:00:00,2019-02-09 00:00:00,735,0.0,0.0,1.0,2.0,130408
2019-03-13 01:00:00,2019-03-13 01:00:00,586,0.0,1.0,1.0,1.0,145726
2019-03-22 02:00:00,2019-03-22 02:00:00,741,0.0,1.0,6.0,1.0,139043
2019-02-02 03:00:00,2019-02-02 03:00:00,762,1.0,2.0,2.0,3.0,139597
2019-05-30 00:00:00,2019-05-30 00:00:00,636,0.0,0.0,3.0,5.0,139889
2019-02-20 09:00:00,2019-02-20 09:00:00,805,1.0,1.0,1.0,3.0,128259
2018-11-19 00:00:00,2018-11-19 00:00:00,954,6.0,3.0,2.0,3.0,119198
2019-01-24 19:00:00,2019-01-24 19:00:00,1245,4.0,4.0,3.0,3.0,135817
2019-04-26 03:00:00,2019-04-26 03:00:00,911,0.0,0.0,6.0,2.0,153657
2019-01-14 23:00:00,2019-01-14 23:00:00,1122,1.0,4.0,4.0,4.0,135453
2018-10-29 03:00:00,2018-10-29 03:00:00,1018,0.0,2.0,4.0,2.0,141524
2019-04-13 02:00:00,2019-04-13 02:00:00,872,1.0,2.0,3.0,3.0,149407
2018-12-02 21:00:00,2018-12-02 21:00:00,1250,1.0,7.0,2.0,6.0,136246
2019-04-06 18:00:00,2019-04-06 18:00:00,713,0.0,2.0,3.0,4.0,141403
2018-12-28 09:00:00,2018-12-28 09:00:00,1235,2.0,2.0,0.0,2.0,126407
2019-02-05 11:00:00,2019-02-05 11:00:00,1028,0.0,0.0,1.0,0.0,155638
2018-12-22 23:00:00,2018-12-22 23:00:00,1137,0.0,1.0,2.0,1.0,115856
2019-02-24 06:00:00,2019-02-24 06:00:00,569,0.0,0.0,0.0,0.0,118729
